entry_time,entry_price,qty,exit_time,exit_price,pnl
2025-08-28 23:30:00+00:00,112503.28615799999,4.444314624710592e-06,2025-08-29 01:45:00+00:00,111463.7028,-0.005217463380252159
2025-08-29 13:00:00+00:00,110699.795532,4.516484518154067e-06,2025-08-29 14:15:00+00:00,108624.99065600001,-0.009965170301403876
2025-08-29 23:30:00+00:00,108561.708,4.604976248453937e-06,2025-08-30 01:45:00+00:00,107426.480406,-0.005824468393493226
2025-08-30 04:45:00+00:00,108457.277118,4.609141753999094e-06,2025-08-30 14:00:00+00:00,108451.99526200001,-0.0006242041735218824
2025-08-30 15:30:00+00:00,108947.57515799999,4.5883705327428735e-06,2025-08-30 21:15:00+00:00,108597.656124,-0.0022044650617032494
2025-08-31 00:30:00+00:00,109227.861204,4.576495553729126e-06,2025-08-31 05:15:00+00:00,108562.003256,-0.0036453245462462957
2025-08-31 16:00:00+00:00,108822.77020199999,4.5933639953555445e-06,2025-08-31 23:15:00+00:00,108366.28240800001,-0.0026953916219452406
2025-09-01 07:15:00+00:00,108457.80722399999,4.608696509327902e-06,2025-09-01 12:30:00+00:00,108944.876666,0.0016435894429283064
2025-09-01 14:00:00+00:00,109246.724976,4.575490346457834e-06,2025-09-01 15:15:00+00:00,108681.419368,-0.003184827224602919
2025-09-01 19:30:00+00:00,109284.932616,4.573744974799197e-06,2025-09-01 21:15:00+00:00,108091.117452,-0.006056739677168206
2025-09-02 00:45:00+00:00,109062.168072,4.58280938762698e-06,2025-09-02 11:30:00+00:00,109890.307542,0.0031931548609676033
2025-09-02 14:45:00+00:00,111382.28200199999,4.487491946346035e-06,2025-09-03 03:00:00+00:00,111056.73421,-0.0020598090710334145
2025-09-03 09:15:00+00:00,111156.756906,4.496503931172931e-06,2025-09-03 20:45:00+00:00,112188.867738,0.0040383257259609786
2025-09-04 10:30:00+00:00,110942.404044,4.505373669698524e-06,2025-09-04 14:00:00+00:00,109788.23796,-0.005796633898860923
2025-09-04 20:00:00+00:00,110192.54410199999,4.535769701448673e-06,2025-09-05 14:45:00+00:00,110547.876002,0.0010109670403426123
2025-09-05 20:30:00+00:00,111570.08955599999,4.47981228380865e-06,2025-09-05 22:45:00+00:00,110777.84,-0.004146775484473361
2025-09-06 03:15:00+00:00,111272.260002,4.491616543172524e-06,2025-09-06 06:00:00+00:00,110693.866798,-0.003196112519840214
2025-09-06 13:00:00+00:00,110920.159596,4.5057304738732205e-06,2025-09-06 15:45:00+00:00,110362.07317,-0.0031128098763834504
2025-09-06 23:00:00+00:00,110195.62471799999,4.535214356179085e-06,2025-09-07 17:45:00+00:00,110940.637434,0.002777052154669107
2025-09-07 21:00:00+00:00,111263.808312,4.491799014002185e-06,2025-09-08 01:15:00+00:00,110781.699228,-0.002763967383251751
2025-09-08 07:00:00+00:00,111288.35322,4.490684156724855e-06,2025-09-08 19:15:00+00:00,112178.749762,0.003396377537015725
2025-09-09 05:30:00+00:00,112004.29637999999,4.462130852776656e-06,2025-09-09 12:15:00+00:00,112760.373414,0.002771957039866159
2025-09-09 21:15:00+00:00,111426.690882,4.485385703818608e-06,2025-09-10 01:15:00+00:00,110924.47066800001,-0.0028510498007905593
2025-09-10 04:00:00+00:00,111563.85831,4.479743159009557e-06,2025-09-10 19:15:00+00:00,113208.95368,0.006765450049569715
2025-09-10 22:00:00+00:00,113952.15587399999,4.386150086180351e-06,2025-09-11 09:00:00+00:00,113880.399364,-0.0009143194915955719
2025-09-11 14:15:00+00:00,114177.53094,4.377452223698645e-06,2025-09-11 20:15:00+00:00,114246.04622,-0.000300025612677179
2025-09-11 21:45:00+00:00,114505.586538,4.364897833310468e-06,2025-09-12 04:45:00+00:00,115336.918002,0.003026733475934852
2025-09-12 14:45:00+00:00,115283.052,4.33559236659557e-06,2025-09-12 23:15:00+00:00,116069.211514,0.002806637723213336
2025-09-13 08:45:00+00:00,116001.20560199999,4.308872057352467e-06,2025-09-13 14:00:00+00:00,115665.21233000001,-0.0020466845940916114
2025-09-13 20:15:00+00:00,115929.061176,4.311465261120918e-06,2025-09-14 03:00:00+00:00,115684.848402,-0.0016520720865057412
2025-09-14 09:00:00+00:00,115984.54227,4.3093316563748096e-06,2025-09-14 12:45:00+00:00,115753.154738,-0.0015963063727532545
2025-09-14 18:45:00+00:00,115411.28764200001,4.330667201918484e-06,2025-09-15 00:15:00+00:00,115183.32872599999,-0.0015863913261324914
2025-09-15 04:30:00+00:00,116090.703498,4.305253832615196e-06,2025-09-15 08:45:00+00:00,114714.32254600001,-0.006521873902514188
2025-09-15 17:45:00+00:00,115143.05400599999,4.340403692698684e-06,2025-09-16 00:45:00+00:00,115065.64226800001,-0.0009355173987127508
2025-09-16 05:00:00+00:00,115849.535274,4.313894380562215e-06,2025-09-16 10:30:00+00:00,115412.20294199999,-0.002485188717210424
2025-09-16 16:30:00+00:00,115872.389844,4.312936273589288e-06,2025-09-17 01:30:00+00:00,116625.72019000001,0.0026474160558750243
2025-09-17 06:30:00+00:00,117177.13074,4.265025668317931e-06,2025-09-17 10:15:00+00:00,116367.101924,-0.004052436980516888
2025-09-17 21:15:00+00:00,115825.32043200001,4.31462832390296e-06,2025-09-18 08:15:00+00:00,117296.575992,0.005744420308535891
2025-09-18 13:00:00+00:00,117410.32737,4.256626665281617e-06,2025-09-18 20:45:00+00:00,117497.63577200001,-0.00022831002782196903
2025-09-19 23:45:00+00:00,115655.506476,4.3212018514324335e-06,2025-09-20 03:45:00+00:00,115421.91100000001,-0.0016085325019102974
2025-09-20 06:15:00+00:00,115700.795532,4.3194408798314215e-06,2025-09-20 18:15:00+00:00,115770.79121,-0.00029755450761102136
2025-09-21 06:45:00+00:00,115710.33743999999,4.319071824818969e-06,2025-09-21 09:30:00+00:00,115493.18674199999,-0.001537040237727559
2025-09-21 12:00:00+00:00,115710.36744599999,4.319004287229812e-06,2025-09-21 15:15:00+00:00,115476.90000000001,-0.0016074461797538422
2025-09-22 13:00:00+00:00,112972.56999599999,4.423600665745733e-06,2025-09-22 17:00:00+00:00,112284.818544,-0.003640207021280594
2025-09-22 22:15:00+00:00,112676.43078,4.435065357953343e-06,2025-09-23 01:30:00+00:00,112243.5468,-0.002518389624236982
2025-09-23 05:45:00+00:00,112687.973088,4.434499345123979e-06,2025-09-23 12:00:00+00:00,112977.39000200001,0.0006829913726970113
2025-09-23 23:15:00+00:00,111919.37939999999,4.464983280803896e-06,2025-09-24 03:45:00+00:00,111660.753382,-0.001753729779225794
2025-09-24 06:00:00+00:00,112755.516594,4.431795483402917e-06,2025-09-24 21:00:00+00:00,113561.293198,0.0029692432249663297
2025-09-26 02:15:00+00:00,109590.26367,4.559932777340098e-06,2025-09-26 05:45:00+00:00,109230.939442,-0.0022371803108180584
2025-09-26 09:15:00+00:00,109668.659346,4.55657115227468e-06,2025-09-26 10:45:00+00:00,108873.221,-0.004221952397325734
2025-09-26 14:00:00+00:00,109330.8618,4.570456424616201e-06,2025-09-26 15:00:00+00:00,108915.36257,-0.002497512040168648
2025-09-26 16:45:00+00:00,109481.90200199999,4.564037005434077e-06,2025-09-26 20:45:00+00:00,109266.582312,-0.001581752739533572
2025-09-27 00:00:00+00:00,109616.34888599999,4.55836696329296e-06,2025-09-27 03:15:00+00:00,109520.14159,-0.0010378908828967725
2025-09-27 04:30:00+00:00,109632.47211,4.557649246867128e-06,2025-09-27 08:00:00+00:00,109265.77247400001,-0.002269885171583088
2025-09-27 15:30:00+00:00,109354.856598,4.569115813074947e-06,2025-09-28 02:45:00+00:00,109425.66049000001,-0.0002762689295671964
2025-09-28 08:15:00+00:00,109546.364892,4.561115502704427e-06,2025-09-28 11:15:00+00:00,109250.385552,-0.0019487703063890704
2025-09-28 14:00:00+00:00,109557.4071,4.560566853012765e-06,2025-09-29 04:15:00+00:00,111789.76757400001,0.009575148029004572
2025-09-29 08:30:00+00:00,112282.692048,4.45030080725902e-06,2025-09-30 04:45:00+00:00,114068.81167400001,0.007344370245606056
2025-09-30 14:30:00+00:00,113245.814634,4.412776565109576e-06,2025-10-02 06:00:00+00:00,118391.317,0.02209265451275045
2025-10-02 10:30:00+00:00,118773.75,4.208328356949427e-06,2025-10-03 00:30:00+00:00,120182.13876399999,0.00532359946750275
2025-10-03 10:15:00+00:00,120492.35365199999,4.14852513900796e-06,2025-10-03 22:00:00+00:00,122430.18906399999,0.007434496756768414
2025-10-04 05:00:00+00:00,122681.561406,4.07479921952554e-06,2025-10-04 10:00:00+00:00,122204.5542,-0.002542425642363219
2025-10-04 14:30:00+00:00,122269.61903399999,4.088423784162812e-06,2025-10-04 15:30:00+00:00,121869.97113,-0.002232817660253702
2025-10-04 21:00:00+00:00,122166.63844200001,4.091778744392262e-06,2025-10-05 09:30:00+00:00,122964.162248,0.0026614783576220293
2025-10-05 23:15:00+00:00,123489.973056,4.048038472046052e-06,2025-10-06 06:00:00+00:00,123802.67451200001,0.0006651974334272217
2025-10-06 10:15:00+00:00,124121.3193,4.027474817775205e-06,2025-10-06 21:45:00+00:00,125072.83043,0.003230013217243138
2025-10-07 10:45:00+00:00,124307.046438,4.021587289061769e-06,2025-10-07 14:30:00+00:00,122791.366814,-0.006691674612897312
2025-10-07 21:15:00+00:00,122272.659642,4.088225290808198e-06,2025-10-08 03:30:00+00:00,121285.74799799999,-0.0046321501279356185
2025-10-08 08:30:00+00:00,122845.804248,4.0689628907721165e-06,2025-10-08 14:45:00+00:00,122295.53600000001,-0.002837503690960111
2025-10-08 17:15:00+00:00,123817.10847,4.036928639589582e-06,2025-10-08 22:45:00+00:00,123176.17983600001,-0.0031856397261369523
2025-10-09 11:15:00+00:00,122705.506194,4.073369798620515e-06,2025-10-09 15:15:00+00:00,121021.080942,-0.007456960061026934
2025-10-09 21:15:00+00:00,121358.02675199999,4.118290578966921e-06,2025-10-10 03:15:00+00:00,121414.622218,-0.00036680841341029866
2025-10-10 09:30:00+00:00,121718.58885,4.106076063933188e-06,2025-10-10 15:15:00+00:00,119229.009428,-0.010816011973505693
2025-10-11 04:30:00+00:00,112132.90209599999,4.456601896604876e-06,2025-10-11 07:15:00+00:00,110732.02916399999,-0.006839065130857645
2025-10-11 11:00:00+00:00,112056.4068,4.459339033769448e-06,2025-10-11 16:15:00+00:00,111783.92874199999,-0.0018139800072538256
2025-10-12 04:00:00+00:00,111097.375032,4.497751983637992e-06,2025-10-13 04:15:00+00:00,114628.529708,0.015273102467029906
2025-10-13 08:00:00+00:00,115343.784144,4.332828232993985e-06,2025-10-13 11:00:00+00:00,114527.09,-0.004136190052904568
2025-10-13 17:45:00+00:00,115063.55811,4.3432006770681514e-06,2025-10-14 00:30:00+00:00,115142.956802,-0.0002550554020060423
2025-10-14 15:30:00+00:00,112159.93750199999,4.455627021041282e-06,2025-10-15 01:30:00+00:00,112488.96770600001,0.0008654648283059695
2025-10-15 08:30:00+00:00,113248.515174,4.412836448835736e-06,2025-10-15 11:15:00+00:00,112026.96012599999,-0.005986984937133308
2025-10-15 19:45:00+00:00,111293.984346,4.490065150854029e-06,2025-10-15 23:00:00+00:00,110832.888988,-0.0026687666779914203
2025-10-16 02:45:00+00:00,111532.73208599999,4.480334045730806e-06,2025-10-16 07:30:00+00:00,110888.13793600001,-0.0034859089937881796
2025-10-16 11:00:00+00:00,111445.244592,4.483694832046509e-06,2025-10-16 14:45:00+00:00,110507.234132,-0.004802852960996418
2025-10-17 00:45:00+00:00,108821.76,4.591567467467027e-06,2025-10-17 06:30:00+00:00,106998.596,-0.008965752745513058
2025-10-17 13:15:00+00:00,105526.161012,4.734538046427773e-06,2025-10-18 00:15:00+00:00,106722.691192,0.0050620775012668005
2025-10-18 07:15:00+00:00,107103.56642999999,4.66504479025763e-06,2025-10-18 15:45:00+00:00,106927.36025,-0.001421088037697697
2025-10-18 20:00:00+00:00,107061.70806,4.6668023348935056e-06,2025-10-19 01:15:00+00:00,106928.600002,-0.001220379277452524
2025-10-19 04:45:00+00:00,107068.30937999999,4.666457611490378e-06,2025-10-19 06:15:00+00:00,106777.64020000001,-0.0019551372428989727
2025-10-19 10:45:00+00:00,107904.286542,4.630214123838575e-06,2025-10-19 21:45:00+00:00,108723.07103600001,0.0031893288980983617
2025-10-20 03:45:00+00:00,110167.469088,4.535239870264084e-06,2025-10-20 11:15:00+00:00,110788.717824,0.00221625845177951
2025-10-20 15:00:00+00:00,111057.116982,4.499009096258321e-06,2025-10-20 17:15:00+00:00,110346.436298,-0.0037950168219414936
2025-10-20 20:30:00+00:00,111116.96895,4.496414986328088e-06,2025-10-20 23:30:00+00:00,110548.265924,-0.003155144139297713
2025-10-21 11:15:00+00:00,108364.328532,4.610486084024419e-06,2025-10-21 20:30:00+00:00,110901.395284,0.011090558013322701
2025-10-22 13:45:00+00:00,108805.116672,4.5923178686328065e-06,2025-10-22 18:15:00+00:00,107992.437192,-0.004329444465766564
2025-10-23 01:00:00+00:00,108333.01227,4.6121309082027434e-06,2025-10-23 12:00:00+00:00,108907.484146,0.002048374530372671
2025-10-23 15:15:00+00:00,109818.69934800001,4.54982875510559e-06,2025-10-23 21:15:00+00:00,109630.01961,-0.001457532952529933
2025-10-24 01:00:00+00:00,110522.39005799999,4.5207942772035355e-06,2025-10-24 12:15:00+00:00,110984.49866,0.0014882656784416636
2025-10-24 19:30:00+00:00,110768.139198,4.510831665342964e-06,2025-10-25 15:15:00+00:00,111448.565828,0.0024678606987869342
2025-10-25 19:45:00+00:00,111645.77468999999,4.475483022052104e-06,2025-10-26 03:30:00+00:00,111260.12352400001,-0.0023245421836507333
2025-10-26 07:00:00+00:00,111702.165966,4.473119586151241e-06,2025-10-26 19:15:00+00:00,113667.701912,0.008187213515256885
2025-10-26 22:15:00+00:00,114411.16765799999,4.367563872429957e-06,2025-10-27 09:45:00+00:00,115230.959198,0.0029787059189211973
2025-10-27 17:15:00+00:00,115352.04579599999,4.332068603958218e-06,2025-10-27 20:15:00+00:00,114690.0574,-0.0034657140502025443
2025-10-28 08:00:00+00:00,114141.783792,4.377850343880589e-06,2025-10-28 19:30:00+00:00,113983.738692,-0.0012911174336163662
2025-10-29 05:30:00+00:00,113222.830038,4.413325401512015e-06,2025-10-29 10:45:00+00:00,112847.435998,-0.0022553690408821684
2025-10-29 13:15:00+00:00,113565.868632,4.399895153461468e-06,2025-10-29 14:15:00+00:00,112294.63658,-0.0061895452698640255
2025-10-29 22:15:00+00:00,111242.424036,4.4915145601693714e-06,2025-10-29 23:30:00+00:00,109981.24935,-0.0062607620751264515
2025-10-30 07:30:00+00:00,111399.255396,4.484910259766362e-06,2025-10-30 11:00:00+00:00,109988.87782400001,-0.006921160388848434
2025-10-30 22:15:00+00:00,107618.41937999999,4.642151971122078e-06,2025-10-31 17:15:00+00:00,109020.701498,0.005906203664939379
2025-11-01 00:15:00+00:00,109559.147448,4.560190548300533e-06,2025-11-01 10:45:00+00:00,110125.800434,0.0019829624571622434
2025-11-01 16:15:00+00:00,110230.5417,4.532505200276267e-06,2025-11-01 22:15:00+00:00,109976.040392,-0.0017523809890673718
2025-11-02 04:30:00+00:00,110457.097002,4.523129388150843e-06,2025-11-02 14:15:00+00:00,110285.928402,-0.0013732872842490873
2025-11-03 00:00:00+00:00,110708.447262,4.512798142320614e-06,2025-11-03 02:15:00+00:00,109227.890052,-0.007276972803563039
2025-11-03 12:15:00+00:00,108276.53097600001,4.613820610764369e-06,2025-11-03 15:30:00+00:00,106063.60303600001,-0.010803408696519447
2025-11-04 02:15:00+00:00,106965.978918,4.6698443588178644e-06,2025-11-04 05:45:00+00:00,104194.916848,-0.013532081686261122
2025-11-04 13:30:00+00:00,104214.398712,4.792493350246732e-06,2025-11-04 16:00:00+00:00,103058.29421800001,-0.006136634901218145
2025-11-05 00:00:00+00:00,101125.651086,4.938570227132564e-06,2025-11-05 01:30:00+00:00,99329.860054,-0.009462618296295217
2025-11-05 03:15:00+00:00,102126.891294,4.889689779390868e-06,2025-11-05 10:00:00+00:00,101738.338262,-0.002498006426921602
2025-11-05 12:30:00+00:00,102735.522996,4.8606004229767905e-06,2025-11-05 22:15:00+00:00,103342.42738000001,0.002348922161918645
2025-11-06 04:30:00+00:00,103891.544154,4.8066286357211915e-06,2025-11-06 07:00:00+00:00,103282.299408,-0.0035258978797087868
2025-11-07 00:45:00+00:00,101500.075956,4.919705103146695e-06,2025-11-07 08:30:00+00:00,101601.12571,-0.00010238382054938695
2025-11-07 15:45:00+00:00,100818.10959,4.952978505172621e-06,2025-11-08 01:00:00+00:00,102882.799324,0.009621008138351546
2025-11-08 10:30:00+00:00,102509.137728,4.871741640215657e-06,2025-11-08 11:45:00+00:00,101836.72858000001,-0.0038731158051126665
2025-11-08 18:45:00+00:00,102159.957906,4.888203552830015e-06,2025-11-09 01:15:00+00:00,101825.640798,-0.0022324839520841003
2025-11-09 07:15:00+00:00,101810.95812000001,4.9048502832546905e-06,2025-11-10 10:45:00+00:00,105974.060948,0.01980790343935509
2025-11-10 19:30:00+00:00,105823.950558,4.7197873794813825e-06,2025-11-11 05:30:00+00:00,105305.624662,-0.003044280045134328
2025-11-11 12:00:00+00:00,105232.952382,4.746149505311373e-06,2025-11-11 13:00:00+00:00,104601.385538,-0.0035950537476914777
2025-11-12 01:15:00+00:00,103167.189312,4.8410095588739085e-06,2025-11-12 15:15:00+00:00,103437.318398,0.0007075928494175472
2025-11-12 22:30:00+00:00,101841.31418999999,4.904069547394294e-06,2025-11-13 11:15:00+00:00,102897.50638199999,0.004577207915900897
2025-11-13 23:30:00+00:00,100440.48408,4.9726938116661935e-06,2025-11-14 04:30:00+00:00,97560.044088,-0.01491430372377081
2025-11-14 16:15:00+00:00,96993.52482600001,5.148644747189238e-06,2025-11-14 19:30:00+00:00,95349.4263,-0.009059062554735731
2025-11-15 01:45:00+00:00,95669.300034,5.219437234478766e-06,2025-11-15 08:45:00+00:00,95891.697824,0.0005608869430554323
2025-11-15 14:15:00+00:00,96160.038162,5.192829794716357e-06,2025-11-15 20:00:00+00:00,95853.57545,-0.0021896651100964714
2025-11-16 03:15:00+00:00,95834.06297999999,5.210378725227925e-06,2025-11-16 12:30:00+00:00,95799.09634799999,-0.0007812781973121478
2025-11-17 00:30:00+00:00,94719.760164,5.271633454810385e-06,2025-11-17 13:00:00+00:00,94915.603082,0.0004325992033548196
2025-11-18 09:00:00+00:00,91191.624678,5.4756127141206496e-06,2025-11-18 21:45:00+00:00,92473.091682,0.00641341090620682
2025-11-19 09:15:00+00:00,91311.068562,5.468801257359513e-06,2025-11-19 14:15:00+00:00,91103.70561399999,-0.0017325808385770208
2025-11-19 14:45:00+00:00,91731.782688,5.44362497954416e-06,2025-11-19 15:30:00+00:00,90678.71063,-0.006328313950962908
2025-11-19 22:15:00+00:00,90612.978972,5.510488538767192e-06,2025-11-20 07:30:00+00:00,92128.330648,0.007746131707467496
2025-11-20 23:00:00+00:00,87580.832664,5.701710038120674e-06,2025-11-21 02:00:00+00:00,86424.151712,-0.007190334974581152
2025-11-21 14:30:00+00:00,84933.453294,5.879009291474282e-06,2025-11-22 03:00:00+00:00,84581.060404,-0.0026696675152016627
2025-11-22 08:00:00+00:00,84547.69615799999,5.905674967201357e-06,2025-11-22 09:15:00+00:00,84090.518532,-0.00329749595123764
2025-11-22 14:45:00+00:00,84511.29887999999,5.908023327910906e-06,2025-11-22 21:30:00+00:00,84386.379348,-0.0013367383629682345
2025-11-22 23:15:00+00:00,84876.291864,5.882538346082568e-06,2025-11-23 07:45:00+00:00,85765.03356200001,0.004625774634100727
2025-11-23 10:15:00+00:00,86181.53286,5.793714196840365e-06,2025-11-24 00:15:00+00:00,86428.20090200001,0.0008290932578364019
2025-11-24 03:30:00+00:00,87471.180738,5.708340869415276e-06,2025-11-24 04:45:00+00:00,86721.02232599999,-0.004878769004885517
2025-11-24 05:15:00+00:00,87648.0261,5.696544968258117e-06,2025-11-24 08:30:00+00:00,86818.572812,-0.005321332049858332
2025-11-24 15:30:00+00:00,86540.664672,5.76912966048662e-06,2025-11-25 00:30:00+00:00,88169.392594,0.008791587579657811
2025-11-25 06:00:00+00:00,88101.586794,5.667415213563038e-06,2025-11-25 07:45:00+00:00,87367.333038,-0.004757994042828244
2025-11-25 13:00:00+00:00,87611.81886,5.698825681989111e-06,2025-11-25 14:30:00+00:00,86582.67000200001,-0.006460562358632724
2025-11-25 17:45:00+00:00,87643.415178,5.6964026280741476e-06,2025-11-25 20:00:00+00:00,87086.319252,-0.003770641248001619
2025-11-25 22:45:00+00:00,87659.938482,5.6951138227141795e-06,2025-11-26 04:30:00+00:00,87258.49481,-0.002883975637821569
2025-11-26 07:00:00+00:00,87841.554798,5.683174764118475e-06,2025-11-26 09:30:00+00:00,86943.537814,-0.005699587997704572
2025-11-26 15:15:00+00:00,87278.70225,5.719498533549004e-06,,,
